algorithms,problem_name,search_budget,q_indicator,value
spea2,train-ticket,1800000,EP,0.2275544636667849
spea2,train-ticket,1800000,HV,0.6236226683766707
spea2,train-ticket,1800000,GSPREAD,0.851188986876187
spea2,train-ticket,3600000,SPREAD,0.5975763590495573
spea2,train-ticket,3600000,IGD+,0.050037579250772964
spea2,train-ticket,3600000,IGD,0.438825917119889
spea2,train-ticket,3600000,EP,0.1994047619047619
spea2,train-ticket,3600000,HV,0.6273498284180345
spea2,train-ticket,3600000,GSPREAD,0.8156315342548687
spea2,train-ticket,900000,SPREAD,0.6083824939200098
spea2,train-ticket,900000,IGD+,0.053381297171732005
spea2,train-ticket,900000,IGD,0.47182967641459816
spea2,train-ticket,900000,EP,0.18350780100822
spea2,train-ticket,900000,HV,0.5877868502017497
spea2,train-ticket,900000,GSPREAD,0.86585648720642
