solID,perfQ,#changes,pas,reliability,
783,-0.23529411764705882,13.370000000000001,14.0,-0.30086695,
801,-0.08515892558557425,5.9,14.0,-0.7269183006464589,
813,-0.08515106583129807,4.1,14.0,-0.5961477306464589,
820,-0.1535782087468042,12.08,14.0,-0.7875468106077714,
832,-0.09309287049915478,11.92,12.0,-0.6636594600077715,
836,-0.1535782087468042,12.08,14.0,-0.7875468106077714,
837,-0.08515892558557425,5.9,14.0,-0.7269183006464589,
840,-0.08515892558557425,5.9,14.0,-0.7269183006464589,
845,-0.1535782087468042,12.08,14.0,-0.7875468106077714,
860,-0.05882389950684829,8.14,13.0,-0.8471106006077714,
864,-0.1535782087468042,12.08,14.0,-0.7875468106077714,
885,-0.1535782087468042,12.08,14.0,-0.7875468106077714,
888,-0.1535782087468042,12.08,14.0,-0.7875468106077714,
893,-0.1535782087468042,12.08,14.0,-0.7875468106077714,
917,-0.08515892558557425,5.9,14.0,-0.7269183006464589,
946,-0.1535782087468042,12.08,14.0,-0.7875468106077714,
