solID,perfQ,#changes,pas,reliability
6,-0.3092460262936476,11.07,17.0,-0.7628938538346521
15,-0.14482887874093642,5.24,17.0,-0.5260532821077204
28,-0.3092460262936476,11.07,17.0,-0.7628938538346521
48,-0.3092460262936476,11.07,17.0,-0.7628938538346521
52,-0.3092460262936476,11.07,17.0,-0.7628938538346521
53,-0.3092460262936476,11.07,17.0,-0.7628938538346521
60,-0.3092460262936476,11.07,17.0,-0.7628938538346521
79,-0.3092460262936476,11.07,17.0,-0.7628938538346521
83,-0.14482887874093642,5.24,17.0,-0.5260532821077204
133,-0.3092460262936476,11.07,17.0,-0.7628938538346521
140,-0.14482887874093642,5.24,17.0,-0.5260532821077204
141,-0.2225515804145282,15.55,13.0,-0.054054314195478126
144,-0.3092460262936476,11.07,17.0,-0.7628938538346521
145,-0.3092460262936476,11.07,17.0,-0.7628938538346521
278,-0.3092460262936476,11.07,17.0,-0.7628938538346521
279,-0.23043247651770635,10.91,17.0,-0.640183671915149
