solID,perfQ,#changes,pas,reliability
938,-0.1535487559696109,7.86,15.0,-0.6580154205627285
958,-0.08517692846835274,13.940000000000001,13.0,-0.7856969869064596
1008,-0.23522933298844223,11.040000000000001,14.0,-0.43243349000000003
1012,-0.17990170593279822,7.86,14.0,-0.6550170868614167
1024,-0.21240218725196966,16.43,14.0,-0.6588074205627286
1026,-0.08517692846835274,6.47,13.0,-0.43010708686141674
1050,-0.1176474906015797,6.59,14.0,-0.6579247506077714
1052,-0.058831389166040866,6.47,13.0,-0.6588074205627286
1056,-0.11764705882352941,6.999999999999999,13.0,-0.6553536543577715
1060,-0.11765454848272199,7.04,13.0,-0.7167096605627286
1074,-0.15358606850108036,16.84,13.0,-0.6588074205627286
1076,-0.11765462748103914,8.93,12.0,-0.6588074205627286
1080,-0.1176474906015797,5.49,14.0,-0.5790642900450429
1084,-0.15354883812271225,7.7,14.0,-0.6524714205627286
1088,-0.21240218725196966,16.43,14.0,-0.6588074205627286
1092,-0.11765454848272199,7.04,13.0,-0.7167096605627286
