solID,perfQ,#changes,pas,reliability
824,0.0016618088358847044,8.23,12.0,-0.6612839946077714
894,-7.489659192577387E-6,5.77,13.0,-0.6612839946077714
930,-0.1536593791472979,4.1,13.0,-0.29830789056272855
1010,-0.11764705882352941,4.83,14.0,-0.44838439
1014,-0.05716172057588,7.13,12.0,-0.582423534045043
1022,-0.1535782087468042,5.24,13.0,-0.6286208505627285
1036,-0.1176470293970073,4.67,14.0,-0.30086695
1050,-0.17654872763260507,5.8999999999999995,13.0,-0.21944743000000005
1052,-0.17647055880877202,5.24,14.0,-0.43048901
1056,-0.2123722853813756,7.04,13.0,-0.7593914205627286
1062,-3.700950835921731E-7,6.34,13.0,-0.7901958966077715
1066,0.05881603975257213,4.54,13.0,-0.6612839946077714
1074,-0.23362499815856033,13.940000000000001,14.0,-0.40224295000000004
1078,-0.058823529411764705,9.46,12.0,-0.6612839946077714
1086,-0.1176474906015797,6.15,14.0,-0.6579247506077714
1092,-0.23362499815856033,13.940000000000001,14.0,-0.40224295000000004
