solID,perfQ,#changes,pas,reliability,
10,-0.058823529411764705,8.14,13.0,-0.8475655606077714,
48,-0.23875476712007337,16.43,14.0,-0.4362413768614167,
82,-0.058793706539487796,6.34,13.0,-0.7897138106077715,
87,-0.11764705882352941,7.569999999999999,15.0,-0.7898314710077715,
214,-0.23875476712007337,16.43,14.0,-0.4362413768614167,
219,-0.23875476712007337,16.43,14.0,-0.4362413768614167,
222,-0.058793706539487796,6.34,13.0,-0.7897138106077715,
227,-0.11761731494956965,7.13,12.0,-0.7897138106077715,
236,-0.23875476712007337,16.43,14.0,-0.4362413768614167,
242,-0.23875476712007337,16.43,14.0,-0.4362413768614167,
243,-0.23875476712007337,16.43,14.0,-0.4362413768614167,
250,-0.23875476712007337,16.43,14.0,-0.4362413768614167,
302,-0.23875476712007337,16.43,14.0,-0.4362413768614167,
303,-0.11761731494956965,7.13,12.0,-0.7897138106077715,
304,-0.1176474906015797,15.7,13.0,-0.08286519399999998,
308,-0.23875476712007337,16.43,14.0,-0.4362413768614167,
