solID,perfQ,#changes,pas,reliability,
1364,-1.998925325002683E-6,5.77,14.0,-0.6591244806077715,
1375,-0.2352945494251091,13.53,14.0,-0.44838439,
1379,-0.026360439622379897,5.24,13.0,-0.653717610045043,
1387,-1.998925325002683E-6,5.77,14.0,-0.6591244806077715,
1395,-1.998925325002683E-6,5.77,14.0,-0.6591244806077715,
1401,-0.2352945494251091,13.53,14.0,-0.44838439,
1412,-0.0851768494700356,7.04,13.0,-0.781832940045043,
1414,-0.05882515824382075,7.569999999999999,14.0,-0.7880885606077715,
1471,-0.026360439622379897,5.24,13.0,-0.653717610045043,
1474,-1.998925325002683E-6,5.77,14.0,-0.6591244806077715,
1475,-1.998925325002683E-6,5.77,14.0,-0.6591244806077715,
1478,-1.998925325002683E-6,5.77,14.0,-0.6591244806077715,
1479,-1.998925325002683E-6,5.77,14.0,-0.6591244806077715,
1482,-0.2352945494251091,13.53,14.0,-0.44838439,
1483,-0.05882515824382075,7.569999999999999,14.0,-0.7880885606077715,
1657,-0.0851839690341446,7.04,13.0,-0.780707750045043,
