solID,perfQ,#changes,pas,reliability
374,-0.11428028307200817,9.02,12.0,-0.6636594600077715
428,-0.11712795676762384,10.25,13.0,-0.6639234006077714
458,-0.058831389166040866,8.39,14.0,-0.7886953206077715
556,-0.17622447177944522,9.84,13.0,-0.6579247506077714
566,-0.17647058823529413,6.47,13.0,-0.6286208505627285
584,-0.23195589222577107,14.85,13.0,-0.6579247506077714
602,-0.11765491857780559,10.63,14.0,-0.6580154205627285
610,-0.17731406738408187,7.790000000000001,13.0,-0.29830789056272855
612,-0.17480150006486195,8.360000000000001,12.0,-0.5280368505627285
620,-0.23195589222577107,7.95,13.0,-0.5280368505627285
626,-0.12285783943201105,6.5600000000000005,16.0,-0.6553536543577715
632,-0.17480150006486195,7.790000000000001,12.0,-0.2989526505627286
636,-0.11428354611531014,9.02,13.0,-0.6639234006077714
642,-0.11712795676762384,10.25,13.0,-0.6639234006077714
650,-0.11765491857599093,6.5600000000000005,14.0,-0.6591244806077715
