solID,perfQ,#changes,pas,reliability
14,-0.13421469157962648,8.8,14.0,-0.9947946779164606
60,-0.17648711349112828,7.569999999999999,16.0,-0.9943089772428393
76,-0.1389730145352514,8.8,17.0,-0.9927838958586014
92,-0.17467636177560433,4.83,16.0,-0.9942645469478227
114,-0.13421469157962648,8.8,14.0,-0.9947946779164606
130,-0.17467636177560433,4.83,16.0,-0.9942645469478227
162,-0.1389730145352514,8.8,17.0,-0.9927838958586014
180,-0.17648711349112828,7.569999999999999,16.0,-0.9943089772428393
182,-0.13421469157962648,8.8,14.0,-0.9947946779164606
194,-0.17467636177560433,4.83,16.0,-0.9942645469478227
198,-0.1389730145352514,8.8,17.0,-0.9927838958586014
202,-0.17648711349112828,7.569999999999999,16.0,-0.9943089772428393
206,-0.13421469157962648,8.8,14.0,-0.9947946779164606
212,-0.17467636177560433,4.83,16.0,-0.9942645469478227
224,-0.22372043982200682,13.310000000000002,16.0,-0.9942645329164607
238,-0.17648711349112828,7.569999999999999,16.0,-0.9943089772428393
