solID,perfQ,#changes,pas,reliability
148,-0.17093808534161564,3.69,16.0,-0.9937137667644232
160,-0.18649241998971638,6.779999999999999,17.0,-0.96607898624185
198,-0.07469859573097337,6.47,15.0,-0.9871654778087934
214,-0.18613641322021832,9.18,16.0,-0.9942645195719485
236,-0.2422407324442577,5.14,16.0,-0.9627312667644233
246,-0.26534747182069374,8.96,10.0,-0.9942632904932046
258,-0.25181377603934496,8.8,13.0,-0.987929536941333
270,-0.17305296264159706,8.8,11.0,-0.9937253084621929
274,-0.1562595046685649,5.550000000000001,15.0,-0.9626353412210116
282,-0.2422407324442577,5.14,16.0,-0.9627312667644233
286,-0.27678072286709415,8.96,10.0,-0.9937112048965269
290,-0.2442006955218676,12.05,9.0,-0.9471957828579403
294,-0.1519299508154178,9.18,16.0,-0.9942645667644233
298,-0.10456539303602143,4.26,16.0,-0.9942645667644233
302,-0.17093808534161564,3.69,16.0,-0.9937137667644232
306,-0.07469859573097337,6.47,15.0,-0.9871654778087934
