solID,perfQ,#changes,pas,reliability
1870,-0.2640034790153681,8.23,10.0,-0.9937132361392776
1946,-0.2640034790153681,8.23,10.0,-0.9937132361392776
1956,-0.195198253429983,7.13,17.0,-0.9937087051788694
1984,-0.12787542626207352,6.47,16.0,-0.9955485079089207
1988,-0.1401464422639737,4.67,17.0,-0.9937087051788694
1998,-0.2640034790153681,8.23,10.0,-0.9937132361392776
2026,-0.2640034790153681,8.23,10.0,-0.9937132361392776
2032,-0.12787542626207352,6.47,16.0,-0.9955485079089207
2034,-0.20880710872539174,6.78,13.0,-0.9937136666155787
2042,-0.2640034790153681,8.23,10.0,-0.9937132361392776
2054,-0.2640034790153681,8.23,10.0,-0.9937132361392776
2058,-0.2640034790153681,8.23,10.0,-0.9937132361392776
1840,-0.1773453090414845,6.999999999999999,15.0,-0.9755383549915889
1928,-0.1773453090414845,6.999999999999999,15.0,-0.9755383549915889
1932,-0.1773453090414845,6.999999999999999,15.0,-0.9755383549915889
1944,-0.1773453090414845,6.999999999999999,15.0,-0.9755383549915889
