solID,perfQ,#changes,pas,reliability
351,-0.1930618000791022,10.98,10.0,-0.5568240278625578
359,-0.08944047455649343,7.04,17.0,-0.9011828047499738
374,-0.17094736287613974,6.5,16.0,-0.5565722593914697
378,-0.19306115100383972,14.67,9.0,-0.6975481025478776
379,-0.1930618000791022,10.98,10.0,-0.5568240278625578
381,-0.1930618000791022,10.98,10.0,-0.5568240278625578
417,-0.1813839037394438,7.35,17.0,-0.07453397609550526
428,-0.08944047455649343,7.04,17.0,-0.9011828047499738
446,-0.17094736287613974,6.5,16.0,-0.5565722593914697
447,-0.1930618000791022,10.98,10.0,-0.5568240278625578
504,-0.19306115100383972,14.67,9.0,-0.6975481025478776
505,-0.26446570206313796,15.33,9.0,-0.8207117855586359
564,-0.146861374234801,6.06,16.0,-0.5568240278625578
594,-0.19306115100383972,14.67,9.0,-0.6975481025478776
595,-0.1930618000791022,10.98,10.0,-0.5568240278625578
596,-0.08944047455649343,7.04,17.0,-0.9011828047499738
