solID,perfQ,#changes,pas,reliability
2384,-0.11761723595125251,6.47,14.0,-0.8465975606077715
2392,-0.1176474906015797,12.8,13.0,-0.3023348505627286
2420,-0.058823529411764705,5.9,13.0,-0.4353576505627286
2424,-0.004239202736956418,7.569999999999999,13.0,-0.6622420335909902
2436,-0.11764705882352941,5.24,14.0,-0.44838439
2444,-0.11764705882352941,6.470000000000001,13.0,-0.455147014
2448,-0.058823529411764705,4.1,13.0,-0.3023348505627286
2466,-0.0726761630469609,10.47,13.0,-0.4622615385812534
2470,-0.11764705882352941,6.0600000000000005,14.0,-0.7086863500450429
2474,-0.1764710200133444,10.06,14.0,-0.5280368505627285
2478,-0.2123720764377105,18.73,13.0,-0.42844342056272855
2484,-0.27119552369637384,18.89,13.0,-0.6588074205627286
2488,-0.08125825101376977,5.9,14.0,-0.7911223606077715
2492,-0.21237199428460915,17.09,13.0,-0.4403882205627285
2496,-0.13146986958644868,7.04,14.0,-0.8420368415909902
2500,-0.0726761630469609,10.47,13.0,-0.4622615385812534
