solID,perfQ,#changes,pas,reliability
7,-0.17890715592560635,5.9,17.0,-0.9937124262133706
18,-0.025521451389014294,4.89,17.0,-0.9633505852686494
26,-0.17890715592560635,5.9,17.0,-0.9937124262133706
144,-0.3417703546198273,10.5,13.0,-0.9937137478309154
156,-0.282509780647423,9.68,10.0,-0.99371371828745
176,-0.09608561412676238,6.47,16.0,-0.9966838770027019
196,-0.04957167240390726,5.24,16.0,-0.9966838770027019
200,-0.05935699324317229,8.14,15.0,-0.9966838770027019
202,-0.04957167240390726,5.24,16.0,-0.9966838770027019
216,-0.28751778175708026,9.05,13.0,-0.9937137667644232
224,-0.08930396325671529,7.0,16.0,-0.9937137667644232
230,-0.07283662930700242,7.04,16.0,-0.9967194473661483
238,-0.17890715592560635,5.9,17.0,-0.9937124262133706
242,-0.17890715592560635,5.9,17.0,-0.9937124262133706
246,-0.14169909119582963,7.699999999999999,13.0,-0.9966838770027019
250,-0.025521451389014294,4.89,17.0,-0.9633505852686494
