solID,perfQ,#changes,pas,reliability
784,-0.21240173815856891,11.040000000000001,13.0,-0.42323405
838,-0.2107326499881367,13.530000000000001,14.0,-0.5272448505627285
864,-0.058823529411764705,4.67,13.0,-0.3027372568614167
866,-0.21240173815856891,11.040000000000001,13.0,-0.42323405
870,-0.11764705882352941,7.0,13.0,-0.30734713056272855
876,-0.1764710200133444,6.59,14.0,-0.6579247506077714
878,-0.17647058823529413,6.06,14.0,-0.5272448505627285
882,-0.11764705882352941,7.0,13.0,-0.30734713056272855
888,-0.15190912057637201,19.39,12.0,-0.3090630705627285
894,-0.15190912057637201,19.39,12.0,-0.3090630705627285
904,-0.1314996924587256,7.04,13.0,-0.51566479
908,-0.058823529411764705,8.8,13.0,-0.5827919700450429
914,-0.058823529411764705,4.67,13.0,-0.3027372568614167
920,-0.23708559995132403,13.530000000000001,14.0,-0.5242465168614167
930,-0.17647058823529413,6.06,14.0,-0.5272448505627285
934,-0.17647058823529413,6.06,14.0,-0.5272448505627285
