solID,perfQ,#changes,pas,reliability
418,-0.09645160487210899,6.12,13.0,-0.9646626433860156
448,-0.1325522546864253,8.14,15.0,-0.997451227802874
456,-0.26534747182069374,8.799999999999999,10.0,-0.9937124904932045
464,-0.15412931733714053,7.0,14.0,-0.9947689477419527
476,-0.034999534835224215,5.24,17.0,-0.9673075523664374
500,-0.17295975938472757,7.569999999999999,14.0,-0.9947689348639377
508,-0.3135160423736626,5.49,16.0,-0.9937137538864083
522,-0.14686100410786215,5.49,16.0,-0.9955535694944745
532,-0.2715700686577463,6.59,15.0,-0.9925233061743901
536,-0.23253256797623054,10.25,16.0,-0.9975556721830379
546,-0.2274417048580524,5.8999999999999995,15.0,-0.9947689348639377
548,-0.209632941813056,7.7299999999999995,16.0,-0.9955535496778739
552,-0.20363993568082822,10.25,15.0,-0.9947689477419527
556,-0.13726531905213094,5.8999999999999995,15.0,-0.9961487997894911
560,-0.1627914970992401,5.8999999999999995,16.0,-0.9977207981921545
564,-0.26534747182069374,8.799999999999999,10.0,-0.9937124904932045
