solID,perfQ,#changes,pas,reliability
24,-0.16364247385191386,7.35,15.0,0.18410646730410052
25,-0.17906587034723012,7.35,16.0,0.18477387124731515
349,-0.28854961746300106,13.969999999999999,9.0,-0.762834615517115
355,-0.2542915840477097,11.92,8.0,-0.7659348769440251
469,-0.06588212039180691,5.24,16.0,-0.5409599383442163
480,-0.2542915840477097,11.92,8.0,-0.7659348769440251
481,-0.2542915840477097,11.92,8.0,-0.7659348769440251
485,-0.16364247385191386,7.35,15.0,0.18410646730410052
492,-0.2542915840477097,11.92,8.0,-0.7659348769440251
493,-0.16364247385191386,7.35,15.0,0.18410646730410052
496,-0.2542915840477097,11.92,8.0,-0.7659348769440251
504,-0.17906587034723012,7.35,16.0,0.18477387124731515
505,-0.2542915840477097,11.92,8.0,-0.7659348769440251
508,-0.2542915840477097,11.92,8.0,-0.7659348769440251
509,-0.24254656439054414,8.23,16.0,-0.7620782205566311
596,-0.16364247385191386,7.35,15.0,0.18410646730410052
