solID,perfQ,#changes,pas,reliability
558,-0.3008580101503734,8.39,9.0,-0.9937137469478227
561,-0.18534849903051795,7.699999999999999,10.0,-0.987082573704394
573,-0.24793290138934237,9.02,15.0,-0.9942635646121657
680,-0.19963056829997,6.06,17.0,-0.993965866072739
570,-0.2865552113431356,6.999999999999999,17.0,-0.9671288534289701
692,-0.17574705914964264,6.06,17.0,-0.993965866072739
694,-0.11785909865516608,6.47,16.0,-0.993724891072739
698,-0.1383421361432006,7.7299999999999995,15.0,-0.993965866072739
702,-0.24793290138934237,9.02,15.0,-0.9942635646121657
704,-0.1351029165538212,6.47,17.0,-0.9939639050703157
716,-0.3008580101503734,8.39,9.0,-0.9937137469478227
720,-0.17574705914964264,6.06,17.0,-0.993965866072739
722,-0.19963056829997,6.06,17.0,-0.993965866072739
730,-0.24793290138934237,9.02,15.0,-0.9942635646121657
734,-0.3008580101503734,8.39,9.0,-0.9937137469478227
738,-0.18534849903051795,7.699999999999999,10.0,-0.987082573704394
