solID,perfQ,#changes,pas,reliability
354,-0.1535782087468042,16.65,14.0,-0.7875468106077714
364,-0.11761731494956965,12.96,14.0,-0.7886953206077715
372,-0.07267653314204446,7.2,14.0,-0.8425498815909902
464,-0.07267653314204446,7.04,13.0,-0.6576444343459473
482,-0.1535782087468042,16.65,14.0,-0.7875468106077714
494,-0.07267653314204446,7.04,13.0,-0.6576444343459473
508,-0.1535782087468042,16.65,14.0,-0.7875468106077714
524,-0.07267653314204446,7.2,14.0,-0.8425498815909902
530,-0.13147023968153226,6.63,14.0,-0.6542467015459473
546,-0.07267653314204446,7.04,13.0,-0.6576444343459473
550,-0.07267653314204446,7.2,14.0,-0.8425498815909902
558,-0.07267653314204446,7.04,13.0,-0.6576444343459473
562,-0.07267653314204446,7.2,14.0,-0.8425498815909902
570,-0.11761731494956965,12.96,14.0,-0.7886953206077715
576,-0.13285087215443764,7.04,14.0,-0.6566737415459474
584,-0.07267653314204446,7.04,13.0,-0.6576444343459473
