solID,perfQ,#changes,pas,reliability
1076,-0.1570651372174598,12.08,15.0,-0.9942645667644233
1140,-0.1570651372174598,12.08,15.0,-0.9942645667644233
1208,-0.2284863521120845,12.08,15.0,-0.9942645329164607
1240,-0.1570651372174598,12.08,15.0,-0.9942645667644233
1246,-0.1570651372174598,12.08,15.0,-0.9942645667644233
1256,-0.1570651372174598,12.08,15.0,-0.9942645667644233
1278,-0.12496928219458592,4.67,17.0,-0.9465744143351469
1298,-0.2284863521120845,12.08,15.0,-0.9942645329164607
1306,-0.18319266220639926,5.93,16.0,-0.9937136795981083
1318,-0.2284863521120845,12.08,15.0,-0.9942645329164607
1320,-0.1570651372174598,12.08,15.0,-0.9942645667644233
1324,-0.1119694433936254,3.0300000000000002,16.0,-0.9937137143351469
1326,-0.12496928219458592,4.67,17.0,-0.946574414335147
1330,-0.11963061152796095,4.83,16.0,-0.994264514335147
1334,-0.12496928219458592,4.67,17.0,-0.946574414335147
1340,-0.17624983754833684,7.51,16.0,-0.9942642339826835
