solID,perfQ,#changes,pas,reliability,
226,-0.12285783943201105,12.36,16.0,-0.6553536543577715,
229,-0.058823529411764705,6.34,13.0,-0.5222948505627285,
249,-0.16743084238200037,8.3,14.0,-0.6240601315459473,
252,-0.058823529411764705,6.34,13.0,-0.5222948505627285,
264,-0.058823529411764705,6.34,13.0,-0.5222948505627285,
293,-0.12285783943201105,12.36,16.0,-0.6553536543577715,
296,-0.16743084238200037,8.3,14.0,-0.6240601315459473,
301,-0.12285783943201105,12.36,16.0,-0.6553536543577715,
327,-0.12285783943201105,12.36,16.0,-0.6553536543577715,
331,-0.11764742891861302,7.73,14.0,-0.8471106006077714,
334,-0.1535782087468042,6.5,14.0,-0.6286208505627285,
339,-0.11765491857780559,7.73,14.0,-0.6588074205627286,
342,-0.058823529411764705,6.34,13.0,-0.5222948505627285,
343,-0.12285783943201105,12.36,16.0,-0.6553536543577715,
347,-0.11764750791693016,7.57,13.0,-0.7912570182077715,
384,-0.058823529411764705,6.34,13.0,-0.5222948505627285,
